Steps,Score
500,0.096
1000,0.128
1500,0.078
2000,0.11
2500,0.09
3000,0.106
3500,0.088
4000,0.106
4500,0.098
5000,0.09
5500,0.076
6000,0.096
6500,0.092
7000,0.108
7500,0.106
8000,0.092
8500,0.114
9000,0.116
9500,0.072
10000,0.13
10500,0.082
11000,0.132
11500,0.14
12000,0.134
12500,0.128
13000,0.09
13500,0.074
14000,0.098
14500,0.152
15000,0.086
15500,0.138
16000,0.25
16500,0.244
17000,0.192
