Steps,Score
500,0.06
1000,0.076
1500,0.06
2000,0.066
2500,0.03
3000,0.022
3500,0.05
4000,0.084
4500,0.084
5000,0.07
5500,0.08
6000,0.056
6500,0.052
7000,0.05
7500,0.056
8000,0.042
8500,0.048
9000,0.054
9500,0.086
